"taxon_id","taxon_name","taxon_rank","input_name","input_author","match_type","match_accepted","wcvp_status","wcvp_name","accepted_name","final_name","name_changed"
"SEPE2","Seymeria pectinata Pursh","species","Seymeria pectinata","Pursh","Exact (with author)",TRUE,"Accepted","Seymeria pectinata","Seymeria pectinata Pursh","Seymeria pectinata Pursh",FALSE
"XYJU","Xyris jupicai Rich.","species","Xyris jupicai","Rich.","Exact (with author)",TRUE,"Accepted","Xyris jupicai","Xyris jupicai Rich.","Xyris jupicai Rich.",FALSE
"STBI2","Stylosanthes biflora (L.) Britton, Sterns & Poggenb.","species","Stylosanthes biflora","(L.) Britton, Sterns & Poggenb.","Exact (with author)",TRUE,"Accepted","Stylosanthes biflora","Stylosanthes biflora (L.) Britton, Sterns & Poggenb.","Stylosanthes biflora (L.) Britton, Sterns & Poggenb.",FALSE
"SCIN2","Scutellaria integrifolia L.","species","Scutellaria integrifolia","L.","Exact (with author)",TRUE,"Accepted","Scutellaria integrifolia","Scutellaria integrifolia L.","Scutellaria integrifolia L.",FALSE
"TOPU2","Toxicodendron pubescens Mill.","species","Toxicodendron pubescens","Mill.","Exact (with author)",TRUE,"Accepted","Toxicodendron pubescens","Toxicodendron pubescens Mill.","Toxicodendron pubescens Mill.",FALSE
"TRSM","Tragia smallii Shinners","species","Tragia smallii","Shinners","Exact (with author)",TRUE,"Accepted","Tragia smallii","Tragia smallii Shinners","Tragia smallii Shinners",FALSE
"ACGR2","Acalypha gracilens A. Gray","species","Acalypha gracilens","A. Gray","Exact (without author)",TRUE,"Accepted","Acalypha gracilens","Acalypha gracilens A.Gray","Acalypha gracilens A.Gray",TRUE
"RHRE","Rhynchosia reniformis DC.","species","Rhynchosia reniformis","DC.","Exact (with author)",TRUE,"Accepted","Rhynchosia reniformis","Rhynchosia reniformis DC.","Rhynchosia reniformis DC.",FALSE
"GAER","Galactia erecta (Walter) Vail","species","Galactia erecta","(Walter) Vail","Exact (with author)",TRUE,"Accepted","Galactia erecta","Galactia erecta (Walter) Vail","Galactia erecta (Walter) Vail",FALSE
"VIPA7","Vitis palmata Vahl","species","Vitis palmata","Vahl","Exact (with author)",TRUE,"Accepted","Vitis palmata","Vitis palmata Vahl","Vitis palmata Vahl",FALSE
"DELI2","Desmodium lineatum DC.","species","Desmodium lineatum","DC.","Exact (with author)",TRUE,"Accepted","Desmodium lineatum","Desmodium lineatum DC.","Desmodium lineatum DC.",FALSE
"RHHA","Rhynchospora harveyi W. Boott","species","Rhynchospora harveyi","W. Boott","Exact (without author)",TRUE,"Accepted","Rhynchospora harveyi","Rhynchospora harveyi W.Boott","Rhynchospora harveyi W.Boott",TRUE
"STUM2","Strophostyles umbellata (Muhl. ex Willd.) Britton","species","Strophostyles umbellata","(Muhl. ex Willd.) Britton","Exact (with author)",TRUE,"Accepted","Strophostyles umbellata","Strophostyles umbellata (Muhl. ex Willd.) Britton","Strophostyles umbellata (Muhl. ex Willd.) Britton",FALSE
"LERE2","Lespedeza repens (L.) W.P.C. Barton","species","Lespedeza repens","(L.) W.P.C. Barton","Exact (without author)",TRUE,"Accepted","Lespedeza repens","Lespedeza repens (L.) W.P.C.Barton","Lespedeza repens (L.) W.P.C.Barton",TRUE
"LEAN","Lespedeza angustifolia (Pursh) Elliott","species","Lespedeza angustifolia","(Pursh) Elliott","Exact (with author)",TRUE,"Accepted","Lespedeza angustifolia","Lespedeza angustifolia (Pursh) Elliott","Lespedeza angustifolia (Pursh) Elliott",FALSE
"RUCA4","Ruellia caroliniensis (J.F. Gmel.) Steud.","species","Ruellia caroliniensis","(J.F. Gmel.) Steud.","Exact (without author)",TRUE,"Accepted","Ruellia caroliniensis","Ruellia caroliniensis (J.F.Gmel.) Steud.","Ruellia caroliniensis (J.F.Gmel.) Steud.",TRUE
"EUPU7","Euphorbia pubentissima Michx.","species","Euphorbia pubentissima","Michx.","Exact (with author)",TRUE,"Accepted","Euphorbia pubentissima","Euphorbia pubentissima Michx.","Euphorbia pubentissima Michx.",FALSE
"SYAD","Symphyotrichum adnatum (Nutt.) G.L. Nesom","species","Symphyotrichum adnatum","(Nutt.) G.L. Nesom","Exact (without author)",TRUE,"Accepted","Symphyotrichum adnatum","Symphyotrichum adnatum (Nutt.) G.L.Nesom","Symphyotrichum adnatum (Nutt.) G.L.Nesom",TRUE
"DEMA2","Desmodium marilandicum (L.) DC.","species","Desmodium marilandicum","(L.) DC.","Exact (with author)",TRUE,"Accepted","Desmodium marilandicum","Desmodium marilandicum (L.) DC.","Desmodium marilandicum (L.) DC.",FALSE
"RHDI2","Rhynchosia difformis (Elliott) DC.","species","Rhynchosia difformis","(Elliott) DC.","Exact (with author)",TRUE,"Accepted","Rhynchosia difformis","Rhynchosia difformis (Elliott) DC.","Rhynchosia difformis (Elliott) DC.",FALSE
"CEVI2","Centrosema virginianum (L.) Benth.","species","Centrosema virginianum","(L.) Benth.","Exact (with author)",TRUE,"Accepted","Centrosema virginianum","Centrosema virginianum (L.) Benth.","Centrosema virginianum (L.) Benth.",FALSE
"AGAR4","Ageratina aromatica (L.) Spach","species","Ageratina aromatica","(L.) Spach","Exact (with author)",TRUE,"Accepted","Ageratina aromatica","Ageratina aromatica (L.) Spach","Ageratina aromatica (L.) Spach",FALSE
"TRUR","Tragia urens L.","species","Tragia urens","L.","Exact (with author)",TRUE,"Accepted","Tragia urens","Tragia urens L.","Tragia urens L.",FALSE
"CAAL5","Carex albolutescens Schwein.","species","Carex albolutescens","Schwein.","Exact (with author)",TRUE,"Accepted","Carex albolutescens","Carex albolutescens Schwein.","Carex albolutescens Schwein.",FALSE
"DEFL3","Desmodium floridanum Chapm.","species","Desmodium floridanum","Chapm.","Exact (with author)",TRUE,"Accepted","Desmodium floridanum","Desmodium floridanum Chapm.","Desmodium floridanum Chapm.",FALSE
"SOOD","Solidago odora Aiton","species","Solidago odora","Aiton","Exact (with author)",TRUE,"Accepted","Solidago odora","Solidago odora Aiton","Solidago odora Aiton",FALSE
"VEBR2","Verbena brasiliensis Vell.","species","Verbena brasiliensis","Vell.","Exact (with author)",TRUE,"Accepted","Verbena brasiliensis","Verbena brasiliensis Vell.","Verbena brasiliensis Vell.",FALSE
"CRAR2","Croton argyranthemus Michx.","species","Croton argyranthemus","Michx.","Exact (with author)",TRUE,"Accepted","Croton argyranthemus","Croton argyranthemus Michx.","Croton argyranthemus Michx.",FALSE
"SMBO2","Smilax bona-nox L.","species","Smilax bona-nox","L.","Exact (with author)",TRUE,"Accepted","Smilax bona-nox","Smilax bona-nox L.","Smilax bona-nox L.",FALSE
"TRUR2","Tragia urticifolia Michx.","species","Tragia urticifolia","Michx.","Exact (with author)",TRUE,"Accepted","Tragia urticifolia","Tragia urticifolia Michx.","Tragia urticifolia Michx.",FALSE
"QUST","Quercus stellata Wangenh.","species","Quercus stellata","Wangenh.","Exact (with author)",TRUE,"Accepted","Quercus stellata","Quercus stellata Wangenh.","Quercus stellata Wangenh.",FALSE
"OXRU","Oxalis rubra A. St.-Hil.","species","Oxalis rubra","A. St.-Hil.","Exact (without author)",TRUE,"Synonym","Oxalis rubra","Oxalis articulata Savigny","Oxalis articulata Savigny",TRUE
"LEHI2","Lespedeza hirta (L.) Hornem.","species","Lespedeza hirta","(L.) Hornem.","Exact (with author)",TRUE,"Accepted","Lespedeza hirta","Lespedeza hirta (L.) Hornem.","Lespedeza hirta (L.) Hornem.",FALSE
